,Mario Kart 8 Deluxe,Super Mario Odyssey ,Mario + Rabbids Kingdom Battle,Mario Tennis Aces,Captain Toad: Treasure Tracker,Super Smash Bros. Ultimate,Super Mario Party,New Super Mario Bros U Deluxe,Yoshi,Luigi's Mansion 3 
Super Mario Party Nintendo Switch Case + Game COMPLETE,3.0,2.6457513110645907,3.1622776601683795,3.0,3.4641016151377544,3.1622776601683795,2.23606797749979,3.0,3.0,3.1622776601683795
Mario Tennis Aces - Nintendo Switch Brand New,2.8284271247461903,2.8284271247461903,3.0,2.0,3.3166247903554,3.3166247903554,2.8284271247461903,2.8284271247461903,2.8284271247461903,3.0
"Mario Tennis Aces (Nintendo Switch, 2018)",2.6457513110645907,2.6457513110645907,2.8284271247461903,1.7320508075688772,3.1622776601683795,3.1622776601683795,2.6457513110645907,3.0,2.6457513110645907,2.8284271247461903
"Super Mario Odyssey (Nintendo Switch, 2017) ",2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
"Super Mario Odyssey (Nintendo Switch, 2017)",2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
Mario Kart 8 Deluxe (Nintendo Switch) Like New | $̶5̶9̶.̶9̶9̶ ~ $48 ~,2.23606797749979,3.0,3.1622776601683795,3.0,3.4641016151377544,3.4641016151377544,3.0,2.6457513110645907,3.0,3.1622776601683795
Mario Kart 8 Deluxe (Nintendo Switch) Like New | $̶5̶9̶.̶9̶9̶ ~ $48 ~,2.23606797749979,3.0,3.1622776601683795,3.0,3.4641016151377544,3.4641016151377544,3.0,2.6457513110645907,3.0,3.1622776601683795
Super Mario Party Nintendo Switch Video Game,2.8284271247461903,2.449489742783178,3.0,2.8284271247461903,3.3166247903554,3.0,2.0,2.8284271247461903,2.8284271247461903,3.0
Mario Tennis Aces for Nintendo Switch,2.6457513110645907,2.6457513110645907,2.8284271247461903,1.7320508075688772,3.1622776601683795,3.1622776601683795,2.6457513110645907,3.0,2.6457513110645907,2.8284271247461903
Minecraft (Nintendo Switch) Super Mario Mash Up Brand New Factory Sealed,3.4641016151377544,3.1622776601683795,3.605551275463989,3.4641016151377544,3.872983346207417,3.605551275463989,3.1622776601683795,3.1622776601683795,3.4641016151377544,3.605551275463989
